,source,target,normalized_projection_density_source_average
0,ACB,AHN,0.008144450058547217
1,ACB,ARH,0.007376306219599506
2,ACB,CA1,0.0011572413257188996
3,ACB,CA3,0.0017601852732700238
4,ACB,DG,0.0013074270670540196
5,ACB,DMH,0.007762362180039381
6,ACB,ILA,0.0034766374439336423
7,ACB,LHA,0.012461205236597507
8,ACB,MEA,0.0028980385317992434
9,ACB,MO,0.0002927007408087131
10,ACB,MPO,0.015027967463819169
11,ACB,ORB,0.0014522551729166035
12,ACB,OT,0.008732942348475017
13,ACB,PIR,0.0038475430932957116
14,ACB,PL,0.0014700376711607999
15,ACB,PVH,0.01002995865449165
16,ACB,SCH,0.004206837114464193
17,ACB,SO,0.011084667466468984
18,ACB,SS,0.000211461782186944
19,ACB,STRd,0.0011001799809095877
20,ACB,VMH,0.0023471590019109364
21,AHN,ACB,0.00017806723796635746
22,AHN,ARH,0.003918272251845224
23,AHN,CA1,5.995890248435418e-05
24,AHN,CA3,2.7876905809651446e-05
25,AHN,DG,6.505864603169293e-05
26,AHN,DMH,0.005545489360323487
27,AHN,ILA,0.00027502198241370667
28,AHN,LHA,0.0034124258790394256
29,AHN,MEA,0.0007118038039576184
30,AHN,MO,4.3735149616086624e-05
31,AHN,MPO,0.0052423001260419105
32,AHN,ORB,0.0001319066190887598
33,AHN,OT,8.645593399387535e-05
34,AHN,PIR,6.621577211336997e-05
35,AHN,PL,0.00013536410273096736
36,AHN,PVH,0.008699226865995712
37,AHN,SCH,0.003782313090885525
38,AHN,SO,0.004404696393543906
39,AHN,SS,3.805324319358671e-05
40,AHN,STRd,3.613268458996384e-05
41,AHN,VMH,0.005588237016561317
42,ARH,ACB,0.00015590277568710247
43,ARH,AHN,0.00425903606585537
44,ARH,CA1,4.324144330899935e-05
45,ARH,CA3,7.518187873340483e-05
46,ARH,DG,8.052011621218393e-05
47,ARH,DMH,0.0058160184240981065
48,ARH,ILA,7.372087840689456e-05
49,ARH,LHA,0.0012737247637463918
50,ARH,MEA,0.000693231312373764
51,ARH,MO,2.9379838105304346e-05
52,ARH,MPO,0.003354178404414431
53,ARH,ORB,1.7902902463213723e-05
54,ARH,OT,0.00010550250172245402
55,ARH,PIR,7.479499628214019e-05
56,ARH,PL,2.9081204211498126e-05
57,ARH,PVH,0.006452872354091759
58,ARH,SCH,0.003300241927777929
59,ARH,SO,0.002695571915453288
60,ARH,SS,3.6134679220782716e-05
61,ARH,STRd,2.430294241091289e-05
62,ARH,VMH,0.004774971931261598
63,CA1,ACB,0.022709501220239764
64,CA1,AHN,0.014666287715405318
65,CA1,ARH,0.004346471628967754
66,CA1,CA3,0.07864709544035303
67,CA1,DG,0.032860485933413994
68,CA1,DMH,0.006507142958064861
69,CA1,ILA,0.009711523748746516
70,CA1,LHA,0.005953819680836562
71,CA1,MEA,0.011891071086745279
72,CA1,MO,0.0014253649826397494
73,CA1,MPO,0.009949418686449373
74,CA1,ORB,0.0017835460098410028
75,CA1,OT,0.0032438647774986353
76,CA1,PIR,0.0025220263683625502
77,CA1,PL,0.0028363628444081743
78,CA1,PVH,0.004363368409151605
79,CA1,SCH,0.010346989460476472
80,CA1,SO,0.013711695767197515
81,CA1,SS,0.0021933132607190506
82,CA1,STRd,0.003165016559462644
