	AHC	ARC	CS	DMH	CA1	CA3	DG	LH	meAMYG	MC	NuAc core	NuAc shell	Pir	PFC	PVN	SO	SS CTX	RS	SCN	TU	VMH	MPO
AHC		0.26883140788571	0.649699660616503	0.224701975560725	0.66107807425836	0.692768778128604	0.0045972644526279	0.00431976527091235	0.308031315151206	0.413351486890993	0.739320159434179	0.360455010669123	0.644621526536698	0.01999400648473	0.885492570620802	0.264299069471002	0.313637433125496	0.122915588426349	0.770841151070718	0.749678674584091	0.540486730591589	0.494480836451338
ARC	0.26883140788571		0.656232033764423	0.767143922943749	0.409211950693596	0.486554766161065	0.8217406828642	0.26975238348284	0.893545515632161	0.798859793601544	0.832896557092028	0.919839994499924	0.844337405123083	0.86309547573272	0.0252312443185644	0.518424020699559	0.941556681443602	0.79373134717283	0.171864414290939	0.674351533502048	0.145125113901835	0.492179599753348
CS	0.649699660616503	0.656232033764423		0.5821828315052	0.479946046967396	0.406542441649043	0.754271853205925	0.189812599597519	0.177637879331517	0.074718762355218	0.426697151355545	0.945038460471742	0.0951782916657196	0.154815003127718	0.245954502255129	0.500261257139346	0.219023933738754	0.43064684380533	0.692029604371188	0.502494902348801	0.33416460064887	0.22179447599719
DMH	0.224701975560725	0.767143922943749	0.5821828315052		0.531296384492893	0.316221689064262	0.753376652999134	0.559984960808162	0.287514129493576	0.717461850492168	0.283966109081903	0.90570569304911	0.101555770808784	0.798067902508332	0.217870330279909	0.280804472449188	0.37118229043067	0.00234624579700495	0.908834773603212	0.454570308967566	0.00210396068315305	0.597619809498512
CA1	0.66107807425836	0.409211950693596	0.479946046967396	0.531296384492893		0.169119192999189	0.790225224257243	0.389807272494966	0.948645298439926	0.502325340847978	0.55241550351858	0.543722539688198	0.968693940861629	0.792662224768533	0.950020870187878	0.271557054778826	0.779840296626184	0.955505340900245	0.270580997287746	0.000999405814543376	0.783187737763548	0.497006674162793
CA3	0.692768778128604	0.486554766161065	0.406542441649043	0.316221689064262	0.169119192999189		0.842632344579168	0.814433673190004	0.51537299080111	0.664217838969131	0.186233933222667	0.858544597350093	0.492556788609783	0.907974138457366	0.842323710689698	0.520191183915391	0.345404907866867	0.225471097432388	0.110127597436917	0.354110644948354	0.96689218269027	0.0388132235402595
DG	0.0045972644526279	0.8217406828642	0.754271853205925	0.753376652999134	0.790225224257243	0.842632344579168		0.096672119228614	0.3697073778294	0.192181807965391	0.87912195838939	0.80040826414796	0.194495398439968	0.0069384961109809	0.969912298040182	0.731210542714355	0.00754378464780363	0.629359210823643	0.47146701977143	0.823261876561026	0.581276532114069	0.767124139353027
LH	0.00431976527091235	0.26975238348284	0.189812599597519	0.559984960808162	0.389807272494966	0.814433673190004	0.096672119228614		0.709790680142754	0.100274882348877	0.727186620834484	0.116158212180131	0.982169257472587	0.125491287502188	0.396683004123686	0.407436023608046	0.483418128714142	0.166905363616446	0.560640723707309	0.30015072003588	0.760521967276572	0.527400103318786
meAMYG	0.308031315151206	0.893545515632161	0.177637879331517	0.287514129493576	0.948645298439926	0.51537299080111	0.3697073778294	0.709790680142754		0.911165540956375	0.384545078123648	0.459152093813457	0.0334762182611613	0.0729887319768233	0.997461094633696	0.591033796665297	0.103068704201229	0.181020617096418	0.778232950715935	0.430008403690869	0.371275032764147	0.376318448697023
MC	0.413351486890993	0.798859793601544	0.074718762355218	0.717461850492168	0.502325340847978	0.664217838969131	0.192181807965391	0.100274882348877	0.911165540956375		0.0783433266822033	0.572615102364011	0.969064536769295	0.52997917968405	0.790907573112007	0.887889888989885	0.290437516175593	0.978131733115405	0.934720291542972	0.784794153191521	0.589527411207319	0.893295597851985
