	AHC	ARC	CS	DMH	CA1	CA3	DG	LH	meAMYG	MC	NuAc core	NuAc shell	Pir	PFC	PVN	SO	SS CTX	RS	SCN	TU	VMH	MPO
AHC	1	-0.347200458938195	-0.146452452308026	0.378755556613214	-0.141424930957148	0.127571120547959	-0.754192879618437	0.75753201847498	-0.321601944425067	-0.260580357108826	0.10756946708144	0.290046735873971	0.148705951495092	0.658093364889918	-0.0466652314441591	0.350294325933363	-0.31809408081353	0.470223931250448	-0.0942250601424224	0.103168029180485	0.196493118920144	-0.21879443570244
ARC	-0.347200458938195	1	-0.143562511674606	-0.0957829133530736	-0.2628144081604	0.222727705308776	0.0729506981468912	-0.346575472037276	0.0433662526233633	0.0824766503430093	-0.0683258672824923	-0.0326191865693009	0.0635950587134999	-0.0558628311592966	0.639203750666287	-0.207080426194923	0.0237662857645013	-0.084619809553329	0.421932073897058	-0.135596656556859	-0.447017740310123	0.21993346009627
CS	-0.146452452308026	-0.143562511674606	1	0.176963585596518	-0.226029543714052	0.264261100388166	0.101221542806155	-0.406449159776281	0.41684593854419	0.532457957962154	0.253452426600214	0.0223484539603297	0.503469123376099	-0.437611547032968	-0.363142667528939	-0.215943793685241	0.383075016790405	0.251363989614359	-0.127891911694901	-0.214846204879774	0.305535915147688	0.380959070746324
DMH	0.378755556613214	-0.0957829133530736	0.176963585596518	1	-0.200880459827442	0.316488743983167	-0.101600663609824	0.187286973517915	0.334753668269424	-0.116913882295258	-0.337081110392859	-0.0383917656918392	0.495305684030203	0.0828073776072402	-0.383960815354399	0.339169064743014	0.283899354195999	0.787746900328099	-0.0371129909203168	-0.238907491102668	0.792695332773108	0.169875742753859
CA1	-0.141424930957148	-0.2628144081604	-0.226029543714052	-0.200880459827442	1	-0.424388141128378	0.0860868052636462	0.273441696051168	-0.020880075117948	-0.214929449294136	0.190844922519418	0.194955889412943	-0.0127239385352695	-0.0850669840267287	0.020320162747796	-0.345354351809659	-0.0904408411743439	-0.0180882580328754	-0.346014213169228	0.823327252070352	-0.0890358981192777	-0.217546981342837
CA3	0.127571120547959	0.222727705308776	0.264261100388166	0.316488743983167	-0.424388141128378	1	-0.0642993585735397	0.0759866919233257	0.208559676945097	-0.140042801745143	-0.40946110153862	0.0577361368667437	0.219746601923171	-0.0374646611963849	0.0644268715634393	-0.206225371766031	0.298836607264913	0.378175527121932	0.484855851386121	-0.293727860493887	0.0134565837095302	0.600849582114984
DG	-0.754192879618437	0.0729506981468912	0.101221542806155	-0.101600663609824	0.0860868052636462	-0.0642993585735397	1	-0.50152482994815	0.284739000468774	0.404474431684391	-0.0492778974096033	-0.0818301530709167	-0.402560512497165	-0.730785306726113	-0.0122285516531152	0.111027099713735	0.725729936614709	-0.155516665065711	0.230296526832183	-0.0723193435672323	0.177381970184456	0.0957912543315581
LH	0.75753201847498	-0.346575472037276	-0.406449159776281	0.187286973517915	0.273441696051168	0.0759866919233257	-0.50152482994815	1	-0.120212680242295	-0.496917132450028	0.112746724924635	0.477823465506834	0.0072460153175102	0.467399473869511	0.269646095228655	0.263776311431007	-0.224292258807717	0.426387135271349	0.186979667543999	0.32659359167394	0.0985778416750207	-0.202750218767408
meAMYG	-0.321601944425067	0.0433662526233633	0.41684593854419	0.334753668269424	-0.020880075117948	0.208559676945097	0.284739000468774	-0.120212680242295	1	0.0361607830079781	-0.276369734569871	-0.236557869023663	0.614552030629808	-0.535146974635492	1.03168364466935e-003	0.172890916036777	0.493419699721812	0.413913828441127	0.0911159654656078	-0.251700934789277	0.283846615551487	0.280988893465069
MC	-0.260580357108826	0.0824766503430093	0.532457957962154	-0.116913882295258	-0.214929449294136	-0.140042801745143	0.404474431684391	-0.496917132450028	0.0361607830079781	1	0.526959456221237	0.181393522815543	-0.0125732507720088	-0.20151190619412	-0.0858011876688642	0.045682730564539	0.332848182680325	-0.00888708870005316	0.0265512991044733	0.0883621793075236	0.1735823779072	0.0434685758832424
