	SS CTX	MC	MPO	PFC	ARC	DG	CA3	CA1	VMH	TU	SCN	SO	PVN	Pir	NuAc shell	meAMYG	LH	DMH	NuAc core	RS	AHC	CS
SS CTX		0.0142211862860794	0.849851641020547	0.0595738757636956	0.847578511917056	0.711664078840974	0.545697330097459	0.916334207864298	0.420613665864179	0.635681932701078	0.104678046210001	0.631443986386053	0.334092818823668	0.394774978157624	0.611357384171784	0.0818454125031584	0.783371633153589	0.650846230480359	0.552876997517135	0.639644276608613	0.160070794119254	0.422011513989073
MC	0.0142211862860794		0.80446114547279	0.00729589253757755	0.174600676674078	0.675982679150015	0.745309878208431	0.541451590446871	0.0321634549545028	0.312462539589538	0.256536693429191	0.150152602532296	0.786836976584339	0.0425670994780792	0.720014367699573	0.138986734256959	0.678262405862202	0.0729014966176193	0.587654596627716	0.551842242782454	0.139877858991349	0.301450715706219
MPO	0.849851641020547	0.80446114547279		0.911617172529209	0.684234031514195	0.78996267467253	0.663231046338759	0.305332910051713	0.452564413723808	0.529637514205943	0.244397589390424	0.163112207093882	0.593394615427295	0.0153947354493462	0.0324683105205526	0.110163561307412	0.862173094609567	0.306833869695312	0.387629107532523	0.412996757698425	0.74038572207727	0.945649863626563
PFC	0.0595738757636956	0.00729589253757755	0.911617172529209		0.851503643017554	0.895866076569413	0.707805190813308	0.265757501080001	0.0605150072937917	0.740254483094576	0.189357076599354	0.182289438129573	0.585718221956569	0.0477583216807453	0.496146672918305	0.0704793989557588	0.0614929339810665	0.0686221974153384	0.301534784553243	0.829589210964595	0.0216950066219085	0.891890296311373
ARC	0.847578511917056	0.174600676674078	0.684234031514195	0.851503643017554		0.277688255953653	0.724213003667148	0.640080735102612	0.302525708844502	0.269323968169443	0.421431380622276	0.182207689561424	0.28886128726838	0.57701533931738	0.698865785335198	0.37038269948322	0.126312095483733	0.401033062606063	0.734718792800635	0.237728085638573	0.838850098433223	0.0918206906493537
DG	0.711664078840974	0.675982679150015	0.78996267467253	0.895866076569413	0.277688255953653		0.645850925795643	0.842356870499943	0.753268478413513	0.377795325603278	0.570314632291752	0.568296275373546	0.101375072981421	0.629123928311407	0.414345673627826	0.387133394581716	0.309910559084259	0.784670973848005	0.8720113696677	0.883802346373379	0.225573257766632	0.73483986453933
CA3	0.545697330097459	0.745309878208431	0.663231046338759	0.707805190813308	0.724213003667148	0.645850925795643		0.343123264193252	0.430882344733509	0.0651217583084776	0.227512105683744	0.0856520775282943	0.321425444744669	0.331098567306748	0.541460899426627	0.673764994185044	0.33069630117456	0.259950848935396	0.331381657302206	0.760425113523399	0.191552896722882	0.855127033352716
CA1	0.916334207864298	0.541451590446871	0.305332910051713	0.265757501080001	0.640080735102612	0.842356870499943	0.343123264193252		0.0400759583205874	0.00453145264448812	0.308355991324336	0.605972773585505	0.209649324849939	0.123392317736669	0.223012080860218	0.265431745795088	0.982582241044707	0.00527372806994325	1.97191239970027e-004	0.025822341608086	0.473983679427895	0.332428964994656
VMH	0.420613665864179	0.0321634549545028	0.452564413723808	0.0605150072937917	0.302525708844502	0.753268478413513	0.430882344733509	0.0400759583205874		0.0920977335449364	0.901060695003152	0.324189093359337	0.253480251303931	0.0988017954182498	0.323439591219928	0.101309509414386	0.321817207042018	1.32149216886447e-005	0.0087009558692551	0.606941677882932	0.472136324978185	0.0928903006010467
TU	0.635681932701078	0.312462539589538	0.529637514205943	0.740254483094576	0.269323968169443	0.377795325603278	0.0651217583084776	0.00453145264448812	0.0920977335449364		0.456012969725388	0.876743034367463	0.16563986268823	0.539018938744904	0.605379086588294	0.32218656514644	0.301765445603012	0.0454139730808182	0.0178710146504759	0.212039917486655	0.261066533142284	0.629305667978858
