	SS CTX	MC	MPO	PFC	ARC	DG	CA3	CA1	VMH	TU	SCN	SO	PVN	Pir	NuAc shell	meAMYG	LH	DMH	NuAc core	RS	AHC	CS
SS CTX	1	0.683708934990855	0.0613190429162122	0.557655488758825	0.062256968667287	0.119406102239571	0.194019610747499	-0.0340501107247544	0.256687761721618	-0.152688166462823	0.491433696493263	0.154582913080155	0.305579085414202	-0.27069600166952	0.163626857557772	-0.521809339251444	0.0889587572729702	0.145944488278819	0.190627430773675	0.150920692591709	0.4326662393065	-0.255942327668953
MC	0.683708934990855	1	-0.0801393440291092	0.727762177744325	0.419508427897542	0.134883049653864	0.105022363973459	-0.196034341888001	0.618159605614116	-0.318826340261046	0.35566536417787	0.442088901534591	-0.0875059007101476	-0.591997551585322	0.115818533930368	-0.453186919978726	0.133886632344453	0.535283718431725	-0.174442994310377	0.191115191842925	0.452280563491928	-0.325765163084464
MPO	0.0613190429162122	-0.0801393440291092	1	-0.0359763047660263	0.131281669392754	0.0861967183437326	0.140476953125257	0.323303034760957	-0.239939675586334	0.201675804415567	0.364258609509791	-0.429851469085381	0.171808620083311	0.677952121005764	-0.617312555373871	-0.48481316724202	-0.0562423876877123	-0.322355793166582	0.274651218482115	0.260771361369142	0.107115931673511	0.0220995193319146
PFC	0.557655488758825	0.727762177744325	-0.0359763047660263	1	-0.0606376752159287	-0.0424163233153556	0.121068211642354	-0.349295446953139	0.555967959545626	-0.107171781276287	0.406830580761288	0.412822849648783	0.175333940988257	-0.580624959631942	0.217971396585065	-0.539126137982413	0.554233660397183	0.542134377975625	-0.325711658687862	0.0696957152945089	0.651599749680508	-0.0440440134326748
ARC	0.062256968667287	0.419508427897542	0.131281669392754	-0.0606376752159287	1	0.341240186699145	0.114019237615659	-0.150726239166575	0.325081626914891	-0.346866047377461	-0.256251548865696	0.412892997243836	-0.333874224707835	-0.179352565542534	-0.124929142900059	-0.284354333131987	-0.466507370968585	0.267261967234341	-0.10953001551851	-0.369087224840673	-0.0658625891896731	-0.5079153319375
DG	0.119406102239571	0.134883049653864	0.0861967183437326	-0.0424163233153556	0.341240186699145	1	-0.148159823555767	-0.0644131710880918	0.101646483957857	-0.28015582863866	-0.182463035953166	0.183402815888487	0.495532188638625	0.155622115671267	-0.260045470513559	-0.274926970706304	-0.320422147518585	-0.0884138283399201	-0.0521972327007231	-0.0473581583056037	-0.378098572739728	-0.109478385902908
CA3	0.194019610747499	0.105022363973459	0.140476953125257	0.121068211642354	0.114019237615659	-0.148159823555767	1	0.300186884945681	-0.251239762419674	0.547960498639758	0.37664203755328	0.516378617411394	0.313277968842817	-0.307384358433999	-0.196029917274464	0.135853398025164	0.30762756428681	-0.353291524118679	0.307213301468186	0.0986187664867759	0.404997154063979	-0.0591439966074926
CA1	-0.0340501107247544	-0.196034341888001	0.323303034760957	-0.349295446953139	-0.150726239166575	-0.0644131710880918	0.300186884945681	1	-0.597806590488043	0.754970701622214	0.32139782627875	-0.166069812842333	0.390357098091917	0.469698256790458	-0.380034181594439	0.349518280883045	-0.00707816533199263	-0.746648677191612	0.874591163258585	0.637256925024842	0.22902637596522	0.306581155396417
VMH	0.256687761721618	0.618159605614116	-0.239939675586334	0.555967959545626	0.325081626914891	0.101646483957857	-0.251239762419674	-0.597806590488043	1	-0.507544362392664	-0.0402909899957508	0.311584366164755	-0.357806168498361	-0.498787492810001	0.312042887424931	-0.495614439213469	0.313037407206836	0.928305531734229	-0.716855243839087	-0.165629630281882	0.229958424728058	-0.506487223728526
TU	-0.152688166462823	-0.318826340261046	0.201675804415567	-0.107171781276287	-0.346866047377461	-0.28015582863866	0.547960498639758	0.754970701622214	-0.507544362392664	1	0.238166466705458	0.0502542076836283	0.427537349997093	0.197191693838225	-0.166339661376752	0.312810749921595	0.325564900650326	-0.585646756439264	0.666790908844538	0.388481674010351	0.352519732226765	0.155540661035905
